본문제목,작성일,조회수,본내용,댓글
148406 반월상 외측 절제술 후 운동 어떤거ㅈ하시나요 [ 1 ],2023.10.31.,238,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 이제 수술후 5주정도 되엇고 의사선생님은 30프로 정도 절제하셧다고 하십니다.. 무슨 운동 해도될까요 실내자전거  레그익스테선 레그컬 맨몸스퀏 이정도 하면 아직  이를지 .. 시작해도될지 의견 부탁드려요..",저 한 달 정도 되었는데 사이클 타고 있어요!!!
148400 반월상연골 복합파열 [ 2 ],2023.10.31.,207,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ 오늘 두번째 병원 두번째병원 방문했습니다 연골이 많이찢어져서 일단은 열어봐야 어떻게한다네요 오다리도 같이하는걸 추천한다는데 보호대차고 목발은 두달해야된다는데 ​ 첫번째병원은 연골 정리하면된다던데 두번째 병원 오다리도 같이해야좋다는데 일단 수술이든 시술이든 12월말에 할수있어서 그때까지 다른병원 한곳더 가볼예정입니다 ​ 갈수록 태산이네요",저는 같이 추천이요 한방에--->아그럼 일주일에서 10일입원이고보조기 목발 두달착용이라던데보조기도 알아봐야겠어요즐거운 저녁시간되세요
148397 [관절연골] 충격파 치료 [ 2 ],2023.10.31.,183,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 오른쪽은 이미 연골연화증이구요, 왼쪽은 원래 괜찮다가 러닝 이후에 고관절과 함께 무릎, 발목까지 통증이 심해져서 결국 병원에 갔어요. 염증 치료해도 더 심하게 아프길래.. 엑스레이 찍어보니 물이 찼다고 하더라구요. ​ 거위발건염이라고 충격파 치료 권유하길래 받았는데 아프더라구요ㅠ.. 무튼 이거 받으면 괜찮아진다는데 몇 회 정도 받는게 좋을까요? 비싸서 많이는 못 하겠어요. 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크)",일반적으로 5~8회를 말합니다--->초기에 언능 치료해서 잡으세요시간 지날수록 재발하고 힘들어져요
148396 카티라이프 연골결손등급이요.. [ 9 ],2023.10.31.,400,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 이번에 카티라이프를 진행하는데, 1차 늑연골떼는 수술을 했습니다. 보험처리를 위해서 진단서에 연골결손등급, 진단코드 이런거를 기재해달라고 병원에 요청을했는데 이건 2차 수술(연골세포이식술) 끝나고 써줄 수 있다고 하더라구요. ​ <문의사항> 1. 2차 수술 끝나고 결손등급, 진단코드 등이 적힌 진단서를 받는게 맞는건가요? (다들 어떻게 하셨는지 궁금합니다..) 2. 1차때는 입퇴원명세서랑 세부내역서만 있어도 보험청구가 가능한건가요? 추가로 제출하셨던게 있을까요? ​ 답변해주시면 정말 감사드리겠습니다...","저건 2차 끝나야 나와요. 수술전 엠알 판독지도 챙기세요. 거기에 등급 기재된 거 달라더라고요.2차 수술기록지도 챙기시고요--->아~ 그럼 이번에 늑연골 뗀거는 2차수술때 같이 청구 하면 될까요....? 아니면 따로도 먼저 받을 수 있나요?1차끝나니 아직 입퇴원 확인서만 있어요..--->그리고 수술 전 엠알판독지에 연골등급을 기재 해달라고 해야하나요?--->그게 핵심이예요--->1차때만 나온 비용 청구하고 수술비 나오는거 있음 받구 입원비 받구 실비 받음 되요서류는 보험회사한테 물어보심 정확해요2차는 카티배양비가 많이 나와서 결손면적 적힌거 진단서 첨부하고 구비서류 챙겨서 제출해요다른분들글 찾아보면 상세히 나왔을거에요...확인하시구 진행하면 되요--->말씀하신 것중에 ""1차때만 나온 비용 청구하고 수술비 나오는거 있음 받구"" 에서 수술비로 돈이 또 나오는게 있나요? 아니면 보험에서 특약사항에 가입이 되어있으면 받으라는 말씀이신건가용??--->늑연골 떼는 수술비가 따로있어요? 다들 2차에 비용나온다고하던데..--->각자 보험에서 받을거 있음 받으시란 소리에요--->늑연골떼는 수술비가 따로 있는게 아니라 비용이 1500만원정도 나오자나요근데 보험회사에서 연골결손 면적에 들어와야 보험금을 지급하기에 icrs결손면적 을 진단서에 적어야 해요"
148371 [반월상연골판] 반월상연골판 절제술 5주차 재활운동 중 통증은 줄어들고 점점 좋아지고 있네요 [ 4 ],2023.10.31.,340,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 절제술 5주차고요 전 남들과 다르게 많이 절제를 해서 그런가(30%) 수술 후 2주간 목발과 반깁스 상태를 유지했습니다 ​ 재활 시작한지 3주가 되었고요 서서히 통증이 사라지고 있습니다 ​ 수술한 병원 대신 정형외과에 가서 전문적으로 도수 체외충격파 고주파 전기치료 근력운동 등등 여러가지를 하고 있는데 아직 수술한 부위에 근육이 통증이 있어서 제대로 운동은 어렵네요 ​ 아직 레그익스텐션하고 프레스는 풀 가동은 어렵지만 작게 움직일 수 있고 무게도 점점 늘어나면서 회복중입니다 계단도 100%는 아니지만 한발씩 올라갈 수 있더군요 ​ 재활은 빠르지는 않지만 좋아지고 있는 것 같아 안심이 됩니다 ​ 다들 잘 지내시고 계신가요? 통증과 걱정이 줄어드니 카페를 잘 안 들어오게 되네요 ​",화이팅하세요.. 그래도 카페는 한번씩 들어오세요 아직 필요한 정보가 있을겁니다--->네 자주는 아니여도 가끔씩 들려여죠--->30%만 절제하신건가요?--->네네 많이 절제했어요
148365 양쪽무릎 연골판파열 있는데 통증심하신분들 수술하셨나요? [ 26 ],2023.10.31.,727,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ ​ ​ ​ ​ 저는 40대 여자고  신랑이랑 같이 생산직에서 현장으로 일하고 있어요 무릎 구부리는 일이 하루 수백번씩 있고  저는 일을 안해도 상관없는데 제가 없으면  제가할일을 신랑이 그만큼해야해서 힘들어져요 ㅜ 그래서 더욱더 수술은 고민하고 있었어요 ... 겨울이 지나면  일이 한가해지면 수술하는게 답인지.. ​ 작년 강남성심병원에서는 하체운동 하라고 수술권유 안하셨고 강동경희대병원  ㅇㅅㅎ교수님은 수술하자해서 예약까지 잡아놓고  일이바빠  취소했어요 저는 수술해봐야 알겠지만 다듬는정도 아니면 제거 얘기하셨어요 ​ 매번 아픈건 아니였고 어쩌다 한번이여서 그때 수술안하길 잘했다  생각했어요 요즘 다시 일이 바빠지면서  통증이 너무 심해서 욱씬거리고 만지지도 못하겠네요 연골은 파열되면  다시 복구가 안되서  수술한뒤로 퇴행이 더 심하게 올거라 들었고 또 어떤데에서는 그 파열된 연골들이 주변 연골을 같이 더 악화시킨다고 봤거든요... 봉합이 아니고 제거는  바로 걷기도 된다고 들었는데 현장일 하면서 수백번  무릎 구부릴정도는 되는걸까요? ​ 다들  수술후 어떠신가요? ​ ​​ ​","수술자체는 어려운게 아닌데 재활이 오래걸려요하루에 수백번 쪼그리시면 쉽지는않겠어요--->봉합이 아니고 제거여도 재활해야하나요?ㅜㅜ--->봉합을 한다고 예상하고 하시는게 맞는거 같은데요절제를해도 어느정도 재활이 필요합니다--->요즘 골수줄기세포 주사있던데 이런건 효과가 없다고 하나요?2기3기에 효과있다고 해서요--->없다고 얘기를 마니들었는데 여기 카페에서는 또 마니들 하시는거 같아요의사 선택에 따르는거겠죠--->그 일을 그만 두시는게 좋을 것 같아요. 저도 여자인데 하루에 몇천키로씩 드는 일 6년 하다가 모은돈이 다 병원비로 가게 생겨서 그만둘지 계속다닐지 모르겠다고 회사에 말해놨어요. 현재 휴직중. 저는 연골판 뿐만아니라 슬개대퇴골도 안 좋아요. 굽혔다 펴는 동작 하도 많이해서 지금 대퇴골에 이단성골연골염 생겨서 연골이 떨어질 위기에요.--->ㅜㅜ 슬개대퇴골이 뭔가 검색해봤어요저도 이제 쉬고 집에서 육아만 하고싶은데 그러자니 가족회사라..제가 그만두면 신랑이 더 힘들어져요 ㅜㅜ일이 기계보는거라 다른직원도 구할수가없구요...--->아픈데, 재취업이 어려워서 계속 다니는 중입니다 ㅜㅜ--->ㅠㅠ 어터케요 우리모두  너무 안타까운 현실이네요--->하루라도 빨리 수술하세요--->수술후에도 다들 통증 있으신분들이 더 많은거 같아요 그럼 더 늦추는게 낫지않을까 싶어서 참는중이에요--->한땀꼬맬거 후에하면 세땀꼬매고 그러다 전체 절제하자고 그렇게됩니다3년 참다가 결국 수술했네요--->안했어요 OA 보조기 착용하고 일하고 집에서는 착용 안하고 지냅니다!--->그게뭔지 검색해볼게요^^  하고나니 통증 좀 나아지던가요?--->무릎을  지지해 주니까 안하는것보다 낫죠--->아마존에서 구매하시면 저렴합니다 OA용이 아니고이건 양쪽 지지해 주는 제품입니다 건강 잘 챙기십시요 참고로 듀오 제품은 회원님께 비추합니다!--->아 구부리는 일 많으시면 그 일 안하셔야 되요 회사에 절제술 하신 분 있는데 2년 되도 통증 있다고 합니다!--->ㅜㅜ구부리는일이  일의 다반사라  일하려면 어쩔수없이 구부려야해요ㅜㅜ  수술후에도 통증있다해서 수술을 미루고있어요--->그럼 우선 며칠이라도 푹 쉬고 돈조이 보조기 착용해 보세요--->급하시면 우선 이거 착용해 보셔요 건강 잘 챙기세요!--->ㅎㅅ보호대 구입해서  사용중인데 밴드형식이라 자꾸 흘러내리는데 이것도 비슷하지않을까용--->아~ 그럼 사지 마셔요!--->넹ㅋㅋ 신경써주셔서 감사해요~~지연아빠님도 건강하세요--->요즘은 좀 어떠신가요?--->콘쥬란?그거 3번 맞고도 예전이랑 다른게 없네요 ㅎㅎ아팟다가 안아팟다가 그냥 지내고있어용--->아 그러셨군요 ㅎㅎ 댓글 감사합니다"
148357 반월상 연골 수술 간병인 필요한가요? [ 9 ],2023.10.31.,545,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 40대 여자입니다 반월상 연골수술 앞두고 있는데 고민이 생겨서 여쭙고자 글 남깁니다 ​ 아직 아이가 어려서 남편이 육아를 해야하는 상황이고 저 혼자 수술하러 가야합니다 집이 병원이랑 가까운편이라 한번씩 남편이 들르는건 가능하지만 아무래도 남편이 육아를 해야하다보니 간병까진 힘든 상황입니다. ​ 간호사간병통합서비스가 되는 병원은 아니어서 간병인 없어도 가능할지 간병인을 고용해야될지 고민입니다 ​ 수술해보신분들 정보 공유해주시면 감사하겠습니다 ​","이틀은  있어야해요--->사람마다 다르겠지만 저도 원판형연골  파열 돼 절제수술 받았습니다  간호통합병동에서 수술했는데 전 수술후 혼자서 다  가능했습니다 봉합수술 하시면 간병인 있어야 해요~~  절제수술은 바로 걸어 다닐 수 있습니다~  후기 참고하세요~~--->화장실문제도 있고 휠체어 혼자 탈순없어서 이틀은 필요했어요--->윗분 말씀대로 절제술이면 간병인 없이 혼자 가능하고 봉합술이면 있는게 좋을듯 합니다. 참고로 저는 봉합술했는데 계속있는건 여건이 안되어 하루만 가족이 있었습니다.--->저는 전방십자인대파열.반월상파열로 입원했는데 긴병인없이 저 혼자 훨체어타고 화장실 다녔어요--->반월성연골 내측 봉합술 받고 휠체어 생활하였습니다.전 간호간병통합병실에 있어고 간병인 없이 첫날 저녁에 화장실 사용(한번) 조무사님 도움 받았습니다.그리고 머리 감겨주고(일주일 두번) 식수, 식사 후 식판정리 도움 받았습니다.수술 후 첫 날은 누군가 옆에 있어줬음 (간병인)좋겠다고 느꼈네요.병원에 문의해 보심이 좋을 듯요. 혼자하셔도 되요~ 라고 하면 힘들어도 가능해요.--->혹시어디병원이세요?--->창원 ㅎㅁㅇ에서요.--->간호간병실 사용해서기저귀 하루 사용하고조무사님이 3시간마다 아이스팩 교체해주시고하루지나서는 셀프로기저귀교체했어요수술후 4일후 다른병원으로 전원해서는 혼자 다하고 있어요"
148353 연골 끼이는느낌 [ 1 ],2023.10.31.,145,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 제목 : 25글자 이내로 간략하게 내용 : 손상된 부위, 현상황 , 궁금증 등 기재(성격에 맞는 게시판 및 말머리 체크) ​ ​ 전방 십자 파열 반월상 파열로 1년 5개월 되었구요 5달 전에 핀뽑을 때 인대 연골 다 괜찮다고 했늗데 ​ 최근에 무릎꿇거나 쪼그랴 앉으면 뭔가 인대가 끼이는 느낌이 드는데.. 아무래도 멀쩡한 상태와 똑같이는 돌아갈 수 없다는걸 감안해야 하는건가여 ​ 아님 아프더라도 천첮히 범위를 늘려가야하는건가요",무릎수술하신분들은 쪼그리거나 꿇는자세는 피하는게 좋을거같아요
148316 카티스템 실비청구 문의드려요 [ 6 ],2023.10.30.,268,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 안녕하세요 카페 가입하고 여기서 정보얻어서 대략정도는 알고있습니다! 보험사마다 다를까해서 제 보험사에 실비나 특약 확인하려해요 ​ 다들 콜센터로 전화하시나요? 아니면 보험 가입했던 설계사에게 물어보시나요?",전 콜센터에 전화해서 문의하니까 보상팀?연결해서 전화주더라고요--->감사합니다!!--->콜센터요--->감사합니다!!--->자기보험사에 전화해보새요--->감사합니다!!
148313 [반월상연골판] mri 결과가 심각하다고 하는데 왜 통증은 없는 걸까요? [ 17 ],2023.10.30.,842,"* 말머리 선택체크/공지등록 체크금지(운영진만 가능)* 하단 태그 단어표기/성격에 맞는 게시판 등록* 병원(선생님)실명 비방 및 상업적 홍보 금지/병원추천 신중* 회원간 상호비방 금지 및 예절준수https://cafe.naver.com/aclknee/141278무릎관련 협력병원, 재활센터 및 관련용품-http://cafe.naver.com/aclknee/5975카페 필독 내용-https://cafe.naver.com/aclknee/25670카페 운영규칙-https://cafe.naver.com/aclknee/99335병원홍보, 바이럴마켓팅금지-http://cafe.naver.com/aclknee/7752http://db.blueweb.co.kr/formmail/formmail.html?dataname=eximkim0국가유공,후유장해,보상,사고합의 전문가상담-https://band.us/band/64144732밴드모임 저는 평소에 헬스, 달리기, 자전거 등 운동을 좋아하는 43살 남자입니다. 최근에 양반다리를 하거나 쪼그려 앉았다 일어날때 무릎이 잘 안펴졌었는데.. 어쩌다 억지로 펴 버렸더니 무릎 위쪽이 붓고, 뒷쪽이 당기고, 90도 이상 구부릴 수 없는 지경이 되었습니다. ​ 한달 정도 쉬어도 증상이 계속 되니 결국 MRI를 찍었는데... 두군데 병원 교수님께서 MRI를 보고 아주 심각하다며 놀라셨습니다. 원판형 연골로 보이고 뿌리 부분까지 훼손된걸로 보이며, 거의 절제를 해야 하고 이식까지 고려해야 한다며 큰 병원으로 가라고 하셨습니다. ​ 그래서 일단 다음달 ㄱㅎㄷ병원에 진료 예약을 해놓은 상태입니다. 이 정도면 고통이 심할꺼라는데.. 저는 솔직히 아픈건 없는데.. 아무리 생각해도 이상합니다.. ​ 평소에 운동매니아라 허벅지가 튼실해서 안 아픈건지... 아니면,, mri 판독 결과보다 실제 무릎 상태가 많이 안 심각해서인지... ​ 후자면 더 없이 좋겠습니다만... 많이 심란하네요ㅠㅠ ​","저도 연골판이 파열되어 관절에 걸리고 복합파열로 양상이 좋지 않아 봉합하지 못하고 50%정도 절제했는데요 수술하는 당일까지 무릎만 약간 부어있고 통증은 없었습니다.MRI 찍으셨고 무릎 상태를 아셨으니 큰병원 몇 곳 진단받아보시고 결정하시는게 좋을 것 같아요.--->일상생활이 불편하고 운동을 못하니까 답답해서.. 수술은 할 생각입니다.다만 최대한 조금만 절제되었으면 하는 욕심입니다ㅠ--->저도 12월이식예정인데 통증이 1도 없습니다80%이상 절제했고 골연골도 4기라서 카티스템해야되고 뼈간격도 1년사이에 좀 좁아져서 이식시 외고정기도 해야된다는데 통증없이 걷고 뛰고 전부 가능합니다그래서 저도 늘 고민이예요 심각하지만 안아픈데 그래도 수술해야되나….교수님은 향후 10년안에 엄청 아파서 불행할거라고 하는데…. 수술도 무서워서 걱정입니다ㅠ--->이식은 더 경과 지켜보면 어떨까요?불편한게 없는데 미리 해야하는 걸까요?ㅠ--->손쓸시기를 놓치면 인공관절외에는 방법이없어서 통증유무에 관계없이 최대한 손상 덜할때 이식하는게 좋다고 해요뼈까지 상하면 이식은 못한다고 하더라고요전 여러군데 진료 봤었는데 손상도가 심해서 둬봐야ㅠ구실못하고 그냥두면 뼈연골 건드려거나 염증생기니 좋을게 없어서 절제는 무조건해야되고 절제후 10년정도 버티다가 아플때 인공관절라는 교수님과 최대한 잘 살려서 인공관절 시기 늦추고 활동적인 삶을 살라는 교수님 요래 있었는데…전 인공관절하는게 더 무섭고 힘들어서 이식 결정했어요진료 두세군데 더 받아보시고 결정하셔요그리고 공유 부탁드립니다~ 진료 보신거 보고 좀더 고민해 보고 싶네요 이식 넘 무서워서요ㅠ--->네.. 진료보고 답글 남길께요..저도 쫄보라 벌써 무섭네요--->그러다 아프면 인공관절 넣을수 있는 상황인듯 합니다 아직은 염증이 없어서 안아프신것 같아요 연골 없다고 다아픈게 아니라 뼈가 까저 염증생기면 아픈거에요 전 가니까 바로4기판정 받고 까저서 카티스템 요런건 못받고 미세천공술 받았어요  젊어서 인공관절은  못받고  보존술로요--->운동마니아라 근육이 많고해서 통증이 적고 하는건아닐까요--->그러면 그동안 운동했던게 득이 된거겠죠? 많이 손상이 안되었길 바랄뿐이네요--->저도 연골수술 1주일째인데 3월에 찢어지거 그 뒤로 통증은 한번도 없었어요~ 그런데 막상 수술할때는 엄청심했다고 하더라구요.--->반월상연골판은 봉합 아니면 절제하신거예요?--->찢어진데 긁어내고 뼈에 구멍 뚫고 줄기세포 이식이에요--->잘은 모르지만... 운동때문이라기 보다, 원래 연골은 신경이 거의 없다시피하는 부위이기 때문에, 평소에 다쳐도 통증이 별로 없구요. 통증이 생긴다면 신경이 있는 조직까지 갔기 때문이라고 들었습니다. 신경이 없고 피도 대부분 돌지않아서 자연재생 또한 어렵구요. 그래서 회복이 안되니 관절염으로 갈 가능성이 높다. 즉 근력운동을 많이해서 부하를 줄이자.저는 이렇게 이해하고 있습니다. 큰 손상이 아니시길 바랍니다.--->감사합니다. 이물감이 있고 대퇴사두근이 찌릿한게.. 신경을 건드는 것 같네요.. 저도 큰 손상이 아니길 빌고 있습니다.--->근육이  많고  염증이  없어 안아픈거죠  원판형파열면  계속 무릎이 손상될거 같아요--->그렇죠.. 저도 수술을 결심하고 진료를 기다리고 있습니다. 일도 손에 안 잡히고 시간도 안가고 답답할 따름이네요ㅎ--->자고 일어나면 수술되어 있어요"
